a_1,a_2,a_3,a_4,b,y,He_Density
-204.3142079,251.7981241,-120.5483635,22.2066381,3.303019292,0.400366263,0.0921
-204.3128316,251.7964279,-120.5475514,22.2064885,3.302997041,0.400458813,0.0921
-204.311456,251.7947326,-120.5467398,22.20633899,3.302974803,0.400551312,0.0921
-204.3100811,251.7930382,-120.5459286,22.20618955,3.302952576,0.400643762,0.0921
-204.3087069,251.7913446,-120.5451178,22.2060402,3.30293036,0.400736163,0.0921
-204.3073334,251.789652,-120.5443074,22.20589092,3.302908156,0.400828513,0.0921
-204.3059607,251.7879602,-120.5434975,22.20574171,3.302885964,0.400920813,0.0921
-204.3045887,251.7862693,-120.542688,22.20559259,3.302863783,0.401013063,0.0921
-204.3032174,251.7845793,-120.5418789,22.20544355,3.302841614,0.401105264,0.0921
-204.3018468,251.7828902,-120.5410702,22.20529458,3.302819457,0.401197415,0.0921
-204.3004769,251.7812019,-120.540262,22.20514569,3.302797311,0.401289516,0.0921
-204.2991078,251.7795146,-120.5394542,22.20499688,3.302775177,0.401381567,0.0921
-204.2977394,251.7778282,-120.5386468,22.20484815,3.302753055,0.401473569,0.0921
-204.2963717,251.7761426,-120.5378398,22.2046995,3.302730944,0.401565521,0.09211
-204.2950047,251.774458,-120.5370333,22.20455092,3.302708845,0.401657424,0.09211
